Grupo,Equipo,Pts,GF,GC,DG,Posicion
A,México,9,4.62,3.14,1.48,1
A,Corea del Sur,6,4.06,3.52,0.5400001,2
A,Sudáfrica,3,3.16,4.29,-1.1299999,3
A,República Checa,0,3.53,4.42,-0.8900001,4
B,Suiza,9,5.19,3.4,1.79,1
B,Canadá,6,4.41,3.43,0.97999984,2
B,Bosnia-Herzegovina,3,3.68,4.7,-1.02,3
B,Catar,0,3.0900002,4.84,-1.7499998,4
C,Marruecos,9,5.47,2.9,2.57,1
C,Brasil,6,5.85,2.8899999,2.96,2
C,Escocia,3,3.9099998,4.7999997,-0.89000005,3
C,Haití,0,2.02,6.66,-4.6400003,4
D,Turquía,9,4.71,3.35,1.3600001,1
D,EE. UU.,6,4.2,3.45,0.75000006,2
D,Australia,3,3.48,3.8500001,-0.37000018,3
D,Paraguay,0,2.78,4.52,-1.74,4
E,Alemania,9,6.08,2.43,3.65,1
E,Costa de Marfil,6,4.24,3.41,0.8299999,2
E,Ecuador,3,3.8899999,3.8899999,-1.1920929e-07,3
E,Curazao,0,2.06,6.54,-4.48,4
F,Países Bajos,9,5.2,3.0900002,2.11,1
F,Japón,6,4.41,3.45,0.9600001,2
F,Suecia,3,3.5700002,5.02,-1.4499999,3
F,Túnez,0,3.09,4.71,-1.6200001,4
G,Bélgica,9,5.77,2.6399999,3.13,1
G,Irán,6,4.2599998,3.3899999,0.8699999,2
G,Egipto,3,3.44,4.0699997,-0.62999994,3
G,Nueva Zelanda,0,2.43,5.8,-3.3700001,4
H,España,9,7.06,2.2,4.86,1
H,Uruguay,6,4.74,3.45,1.29,2
H,Cabo Verde,3,2.8600001,5.19,-2.33,3
H,Arabia Saudí,0,2.33,6.15,-3.8200002,4
I,Francia,9,6.3599997,2.43,3.9299998,1
I,Senegal,6,4.56,3.47,1.09,2
I,Noruega,3,3.74,4.71,-0.96999985,3
I,Irak,0,2.2,6.25,-4.05,4
J,Argentina,9,6.17,2.4299998,3.74,1
J,Austria,6,4.5299997,3.6799998,0.85,2
J,Argelia,3,3.84,3.8899999,-0.049999952,3
J,Jordania,0,1.94,6.4800005,-4.54,4
K,Portugal,9,5.74,2.81,2.93,1
K,Colombia,6,4.61,3.5500002,1.06,2
K,RD Congo,3,3.1,4.5299997,-1.4299998,3
K,Uzbekistán,0,2.82,5.38,-2.5600002,4
L,Inglaterra,9,6.19,2.63,3.5600002,1
L,Croacia,6,5.4700003,3.21,2.2600002,2
L,Panamá,3,3.08,5.2000003,-2.1200004,3
L,Ghana,0,2.47,6.17,-3.7,4
